,LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,2ndFlrSF,GrLivArea,FullBath,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
126,0.0,6,1976,1976,0.0,120,1078,0,958,2,1,440,0,205,128000
127,55.0,5,1930,1950,0.0,116,672,0,840,1,1,0,0,0,87000
128,69.0,6,1966,1966,266.0,512,660,688,1348,1,1,453,188,108,155000
129,69.0,5,1958,1991,85.0,567,1008,0,1053,1,0,750,0,80,150000
130,88.0,7,1966,1966,309.0,445,924,941,2157,2,2,487,105,66,226000
131,0.0,6,2000,2000,40.0,695,992,1032,2054,2,1,390,24,48,244000
132,75.0,5,1959,2002,0.0,405,1063,0,1327,1,0,624,0,0,150750
133,0.0,8,2001,2002,136.0,1005,1267,0,1296,2,0,471,192,25,220000
134,78.0,5,1968,1993,0.0,570,1461,0,1721,2,1,440,0,96,180000
135,80.0,7,1970,1970,288.0,0,1304,0,1682,2,1,530,98,0,174000
136,0.0,5,1967,1967,196.0,695,1214,0,1214,2,1,318,0,111,143000
137,82.0,7,1988,1989,70.0,0,1907,0,1959,3,0,766,0,0,171000
138,73.0,8,1999,2000,320.0,668,1004,848,1852,2,2,660,224,106,230000
139,65.0,6,1997,1997,0.0,821,928,836,1764,2,0,470,276,99,231500
140,70.0,4,1971,1971,0.0,432,864,0,864,1,1,0,0,0,115000
141,78.0,7,2005,2005,0.0,1300,1734,0,1734,2,0,660,160,24,260000
142,71.0,5,1952,1952,0.0,507,910,475,1385,2,0,720,0,0,166000
143,78.0,7,1999,1999,183.0,679,1490,0,1501,2,0,577,144,29,204000
144,70.0,5,1963,1963,336.0,1332,1728,0,1728,2,0,504,0,0,125000
145,24.0,6,2004,2006,50.0,0,970,739,1709,2,0,380,0,40,130000
146,51.0,5,1931,1993,0.0,209,715,0,875,1,0,180,48,0,105000
147,0.0,7,2001,2001,180.0,0,884,1151,2035,2,1,434,144,48,222500
148,63.0,7,2004,2005,120.0,680,1080,0,1080,1,0,0,0,0,141000
149,0.0,5,1936,1950,0.0,0,896,448,1344,1,0,240,200,114,115000
150,120.0,5,1975,1975,0.0,716,969,0,969,1,0,440,0,0,122000
151,107.0,8,2007,2008,436.0,1400,1710,0,1710,2,1,866,0,102,372402
152,0.0,6,1971,1971,252.0,416,825,896,1993,2,1,495,0,66,190000
153,0.0,6,1960,1975,0.0,429,1602,0,1252,1,1,564,409,0,235000
154,84.0,6,1923,1950,0.0,0,1200,0,1200,1,0,312,0,0,125000
155,60.0,6,1924,1950,0.0,0,572,524,1096,1,0,0,0,8,79000
156,60.0,5,1950,1950,0.0,0,0,0,1040,1,0,625,0,0,109500
157,92.0,8,2009,2010,84.0,0,774,1194,1968,2,1,680,0,75,269500
158,100.0,7,2004,2005,0.0,222,991,956,1947,2,1,678,0,136,254900
159,134.0,7,2005,2006,456.0,57,1392,1070,2462,2,1,576,239,132,320000
160,0.0,6,1984,1984,0.0,660,1232,0,1232,2,0,516,0,0,162500
161,110.0,9,2003,2004,664.0,1016,1572,1096,2668,2,2,726,400,0,412500
162,95.0,7,2005,2005,226.0,1201,1541,0,1541,2,1,532,0,70,220000
163,55.0,4,1956,1956,0.0,0,882,0,882,1,0,0,0,0,103200
164,40.0,6,1926,2004,0.0,370,1149,467,1616,2,0,216,0,0,152000
165,62.0,5,1940,1999,0.0,351,644,547,1355,2,0,0,140,0,127500
166,0.0,5,1955,1993,0.0,379,1617,0,1867,1,3,303,476,0,190000
167,86.0,8,2007,2007,300.0,1288,1582,551,2161,1,1,789,178,120,325624
168,62.0,7,2004,2004,0.0,0,840,880,1720,2,1,440,100,48,183500
169,0.0,8,1981,1981,653.0,0,1686,0,1707,2,1,511,574,64,228000
170,0.0,5,1941,1950,0.0,360,720,0,1382,1,0,660,237,0,128500
171,141.0,6,1960,1960,112.0,639,1080,0,1656,1,2,528,210,62,215000
172,44.0,7,1987,1987,0.0,495,1064,703,1767,2,1,504,441,35,239000
173,80.0,6,1961,1961,491.0,288,1362,0,1362,1,1,504,0,20,163000
174,47.0,6,1986,1986,132.0,1398,1606,0,1651,2,1,616,192,0,184000
175,84.0,6,1950,2001,0.0,477,1202,0,2158,2,1,576,0,29,243000
176,97.0,6,1988,1989,268.0,831,1151,896,2060,2,1,521,0,228,211000
177,0.0,5,1958,1958,0.0,57,1052,668,1920,2,1,451,0,0,172500
178,63.0,9,2008,2009,748.0,1904,2216,0,2234,2,1,1166,0,60,501837
179,60.0,5,1923,2006,0.0,0,968,0,968,1,0,480,0,0,100000
180,0.0,6,2000,2000,456.0,436,756,756,1525,2,1,440,0,0,177000
181,54.0,7,1920,1950,0.0,352,793,901,1802,1,1,216,0,0,200100
182,60.0,5,1957,2006,98.0,0,0,0,1340,1,1,252,116,0,120000
183,63.0,7,2003,2003,0.0,0,1362,720,2082,2,0,484,280,238,200000
184,92.0,5,1908,1991,0.0,0,504,316,1252,1,0,576,104,0,127000
185,90.0,10,1892,1993,0.0,0,1107,1518,3608,2,2,840,0,260,475000
186,0.0,7,1990,1991,0.0,611,1188,0,1217,2,0,497,168,27,173000
187,60.0,5,1916,1987,0.0,0,660,704,1656,2,0,180,0,0,135000
188,64.0,5,1979,1979,275.0,1086,1086,0,1224,0,2,528,120,0,153337
189,41.0,8,2001,2002,0.0,1153,1593,0,1593,1,1,682,0,120,286000
190,70.0,8,1932,1994,0.0,297,853,1178,2727,2,2,440,0,74,315000
191,0.0,7,1972,2004,138.0,626,725,754,1479,1,0,484,0,32,184000
192,68.0,7,1999,1999,0.0,560,1431,0,1431,2,0,666,0,35,192000
193,24.0,7,2004,2004,50.0,0,970,739,1709,2,0,380,0,40,130000
194,60.0,5,1972,1972,0.0,390,864,0,864,1,0,352,0,0,127000
195,24.0,6,1976,1976,0.0,566,855,601,1456,2,1,440,87,0,148500
196,79.0,7,2007,2007,205.0,1126,1726,0,1726,2,1,786,171,138,311872
197,174.0,8,1918,1990,0.0,1036,1360,1360,3112,2,1,795,0,16,235000
198,92.0,6,1912,1950,0.0,0,755,929,2229,1,0,0,0,198,104000
199,76.0,8,2004,2005,262.0,1088,1713,0,1713,2,1,856,0,26,274900
200,80.0,4,2003,2004,0.0,0,1121,0,1121,2,0,440,132,64,140000
201,75.0,6,1977,1977,0.0,641,1196,0,1279,2,2,473,238,83,171500
202,50.0,6,1924,1950,0.0,617,617,445,1310,2,0,398,0,0,112000
203,0.0,6,2004,2004,205.0,662,848,0,848,1,1,420,149,0,149000
204,50.0,5,1947,1950,0.0,312,720,564,1284,1,0,240,0,35,110000
205,99.0,7,1990,1990,0.0,0,1424,0,1442,2,0,500,0,34,180500
206,40.0,5,1962,1962,0.0,0,1140,0,1696,1,1,349,0,30,143900
207,0.0,4,1960,1960,0.0,419,1100,0,1100,1,1,312,355,0,141000
208,0.0,7,1988,1989,128.0,1065,1157,882,2062,2,1,454,60,55,277000
209,75.0,6,1964,1964,260.0,787,1092,0,1092,1,0,504,0,0,145000
210,67.0,5,1925,1950,0.0,468,864,0,864,1,0,0,0,0,98000
211,83.0,6,2009,2009,0.0,36,1212,0,1212,2,0,460,100,22,186000
212,72.0,7,2009,2009,0.0,822,900,920,1852,2,1,644,168,108,252678
213,43.0,5,1995,1995,0.0,716,990,0,990,1,0,576,224,0,156000
214,0.0,6,1977,1977,153.0,378,689,703,1392,1,0,299,0,36,161750
215,72.0,5,1957,1996,64.0,360,1070,0,1236,1,1,447,0,0,134450
216,65.0,7,2004,2004,266.0,946,1436,0,1436,2,0,484,139,98,210000
217,57.0,4,1925,1950,0.0,0,686,518,1328,1,0,210,0,172,107000
218,0.0,7,1939,2006,312.0,341,798,817,1954,1,2,431,0,119,311500
219,43.0,7,2005,2006,16.0,16,1248,0,1248,2,0,438,108,0,167240
220,73.0,7,2006,2006,0.0,0,1498,0,1498,2,0,675,351,33,204900
221,0.0,6,2002,2002,0.0,0,1010,1257,2267,2,1,390,120,46,200000
222,85.0,6,1975,1975,0.0,550,713,741,1552,2,1,434,209,208,179900
223,70.0,4,1971,1971,0.0,524,864,0,864,1,0,576,216,0,97000
224,103.0,10,2003,2003,922.0,56,2392,0,2392,2,1,968,248,105,386250
225,21.0,5,1971,1971,142.0,0,630,672,1302,2,0,280,0,0,112000
226,82.0,7,1995,1995,290.0,565,1203,1306,2520,2,1,721,224,114,290000
227,21.0,6,1970,1970,127.0,321,483,504,987,1,0,280,0,0,106000
228,70.0,5,1967,1967,0.0,842,912,0,912,1,1,336,0,0,125000
229,43.0,7,2005,2006,16.0,16,1373,0,1555,2,1,430,143,20,192500
230,73.0,6,1959,1959,220.0,0,1194,0,1194,1,0,312,0,0,148000
231,174.0,8,1995,1996,506.0,689,1462,1304,2794,2,1,810,0,146,403000
232,21.0,6,1972,1972,297.0,0,483,504,987,1,1,288,0,0,94500
233,75.0,5,1976,1976,0.0,182,894,0,894,1,0,308,365,0,128200
234,0.0,6,2002,2002,0.0,625,860,1100,1960,2,2,440,288,48,216500
235,21.0,6,1971,1971,604.0,358,483,504,987,1,0,264,0,0,89500
236,65.0,7,2004,2004,98.0,24,1414,0,1414,2,0,494,132,105,185500
237,0.0,7,1993,2003,0.0,402,996,730,1744,2,0,457,370,70,194500
238,93.0,8,2007,2007,254.0,0,1694,0,1694,2,0,818,168,228,318000
239,52.0,6,1945,1950,0.0,94,735,689,1487,1,1,220,0,140,113000
240,75.0,8,2008,2008,36.0,1078,1566,0,1566,2,0,750,144,168,262500
241,40.0,5,1945,1997,0.0,329,686,0,866,1,0,0,58,42,110500
242,63.0,5,1900,1950,0.0,0,540,551,1440,1,0,352,0,0,79000
243,75.0,6,1980,1980,0.0,0,626,591,1217,1,1,288,0,28,120000
244,0.0,7,1994,2002,0.0,695,948,888,2110,2,2,463,0,130,205000
245,80.0,7,1988,1988,102.0,929,1845,0,1872,2,1,604,197,39,241500
246,69.0,6,1910,1950,0.0,0,1020,1020,1928,2,0,440,0,60,137000
247,75.0,6,1954,1954,0.0,0,1367,0,1375,1,1,451,0,30,140000
248,72.0,7,2003,2003,101.0,0,840,828,1668,2,0,500,144,68,180000
249,0.0,6,1958,2006,472.0,697,1444,700,2144,2,2,389,0,98,277000
250,55.0,3,1940,1966,0.0,0,728,0,1306,1,0,0,263,0,76500
251,44.0,8,2006,2007,481.0,1573,1573,0,1625,2,1,538,123,0,235000
252,65.0,6,2004,2004,0.0,0,798,842,1640,2,0,520,138,45,173000
253,85.0,6,1964,1991,108.0,270,1302,0,1302,2,0,309,333,0,158000
254,70.0,5,1957,1957,0.0,922,1314,0,1314,1,0,294,250,0,145000
255,66.0,7,1999,1999,302.0,0,975,1286,2291,2,1,429,192,0,230000
256,64.0,6,2003,2003,0.0,503,864,864,1728,2,0,673,216,56,207500
257,68.0,7,2006,2006,180.0,1334,1604,0,1604,2,1,660,123,110,220000
258,80.0,7,2001,2001,172.0,361,963,829,1792,2,1,564,0,96,231500
259,70.0,5,1956,1956,0.0,0,0,0,882,1,0,308,0,45,97000
260,120.0,6,1962,1962,399.0,672,1362,0,1382,1,1,884,0,0,176000
261,69.0,8,2007,2007,270.0,0,1482,1092,2574,2,1,868,0,148,276000
262,88.0,6,1977,1995,46.0,506,506,0,1212,1,1,492,292,12,151000
263,50.0,5,1929,2001,0.0,234,926,0,1316,1,0,484,0,0,130000
264,30.0,5,1925,2004,0.0,0,680,0,764,1,0,504,0,0,73000
265,78.0,6,1981,1981,210.0,588,1422,0,1422,2,1,576,276,0,175500
266,70.0,6,1997,1997,0.0,714,802,709,1511,2,1,413,95,75,185000
267,60.0,5,1939,1997,0.0,378,720,720,2192,2,1,240,262,24,179500
268,71.0,5,1940,1955,0.0,403,740,0,778,1,1,924,0,25,120500
269,0.0,6,1976,1976,174.0,751,1143,0,1113,1,1,504,370,30,148000
270,84.0,8,2006,2006,0.0,0,1095,844,1939,2,1,1053,192,51,266000
271,73.0,7,1954,2005,0.0,226,1385,0,1363,1,2,439,81,0,241500
272,92.0,8,1999,2007,348.0,524,1152,1106,2270,2,1,671,132,57,290000
273,80.0,6,1958,1988,183.0,620,1240,0,1632,2,1,338,289,0,139000
274,76.0,5,1982,1982,0.0,546,816,0,816,1,0,264,168,0,124500
275,55.0,7,1925,2007,0.0,0,952,596,1548,2,0,672,74,0,205000
276,129.0,7,2003,2003,0.0,0,1560,0,1560,2,0,573,100,150,201000
277,140.0,4,1951,1951,0.0,120,864,0,864,1,0,400,0,0,141000
278,107.0,9,2006,2007,315.0,0,2121,0,2121,2,1,732,124,98,415298
279,83.0,7,1977,1977,299.0,392,1160,866,2022,2,1,505,288,117,192000
280,82.0,7,1989,1989,340.0,421,807,807,1982,2,1,575,0,84,228500
281,60.0,6,2006,2006,68.0,905,1262,0,1262,2,0,572,0,120,185000
282,34.0,7,2007,2008,166.0,904,1314,0,1314,2,1,626,172,62,207500
283,74.0,8,2008,2009,72.0,0,1468,0,1468,2,1,898,210,150,244600
284,50.0,6,1992,1992,0.0,430,1575,0,1575,2,0,529,0,0,179200
285,35.0,7,2006,2007,0.0,0,625,625,1250,2,0,528,0,54,164700
286,77.0,6,1962,1981,0.0,600,912,649,1734,1,1,440,0,0,159000
287,0.0,4,1971,1971,0.0,614,858,0,858,1,0,0,0,0,88000
288,0.0,5,1967,1967,31.0,450,882,0,900,1,0,280,0,0,122000
289,60.0,6,1915,2003,0.0,0,698,698,1396,1,0,384,0,0,153575
290,120.0,8,2006,2006,0.0,0,1079,840,1919,2,1,685,0,51,233230
291,55.0,5,1912,2000,0.0,210,780,780,1716,2,0,0,0,184,135900
292,60.0,5,1949,2008,0.0,292,768,568,1716,1,1,281,0,0,131000
293,0.0,7,1977,1994,34.0,795,795,795,2263,2,1,539,0,250,235000
294,80.0,6,1953,1953,238.0,1285,1416,0,1644,1,2,418,110,0,167000
295,37.0,6,1984,1984,0.0,819,1003,0,1003,1,0,588,120,0,142500
296,75.0,5,1950,1950,0.0,420,910,648,1558,1,0,282,289,0,152000
297,66.0,7,1997,1998,1600.0,649,975,975,1950,2,1,576,0,10,239000
298,90.0,6,1968,1968,365.0,384,702,702,1743,1,1,539,224,0,175000
299,80.0,6,1950,2004,0.0,0,1092,0,1152,1,1,300,0,36,158500
300,90.0,5,1953,1953,56.0,841,1165,0,1336,1,2,375,0,0,157000
301,66.0,8,1998,1999,0.0,281,1028,1242,2452,2,1,683,208,50,267000
302,118.0,7,2001,2002,150.0,0,1541,0,1541,2,1,843,468,81,205000
303,70.0,5,1972,1972,0.0,894,894,0,894,1,0,552,256,0,149900
304,87.0,7,1880,2002,0.0,0,1470,1818,3493,3,1,870,302,0,295000
305,80.0,8,2004,2005,246.0,1464,2000,0,2000,2,0,888,168,0,305900
306,116.0,7,1990,1991,246.0,700,700,1121,2243,2,1,746,127,44,225000
307,0.0,6,1920,1950,0.0,0,319,371,1406,1,0,0,0,144,89500
308,0.0,4,1940,1950,0.0,262,861,0,861,1,0,539,158,0,82500
309,90.0,9,2003,2004,0.0,1274,1896,0,1944,2,3,708,208,175,360000
310,0.0,6,1993,1994,112.0,518,697,804,1501,2,1,420,190,63,165600
311,50.0,6,1948,2002,0.0,680,972,0,972,1,1,240,0,0,132000
312,65.0,5,1939,1950,0.0,507,793,325,1118,1,1,410,0,0,119900
313,150.0,7,1965,1965,0.0,1236,2136,0,2036,2,2,513,0,0,375000
314,60.0,7,1925,1990,0.0,16,728,809,1641,1,1,546,0,0,178000
315,71.0,7,2004,2005,0.0,425,716,716,1432,2,1,432,100,51,188500
316,94.0,7,1980,1980,278.0,692,845,1200,2353,2,1,484,288,195,260000
317,75.0,8,2006,2006,0.0,0,1088,871,1959,2,1,1025,208,46,270000
318,90.0,7,1993,1993,256.0,987,1347,1274,2646,2,1,656,340,60,260000
319,0.0,7,1980,1980,225.0,1036,1372,0,1472,2,2,588,233,48,187500
320,111.0,9,2006,2006,370.0,0,1249,1347,2596,3,0,840,240,154,342643
321,99.0,8,2004,2004,388.0,970,1136,1332,2468,2,1,872,184,154,354000
322,86.0,7,1986,1987,172.0,28,1502,1177,2730,2,1,576,201,96,301000
323,49.0,3,1955,2005,0.0,256,1162,0,1163,1,0,220,142,98,126175
324,96.0,7,1967,2007,300.0,0,710,1080,2978,2,1,564,240,0,242000
325,50.0,5,1941,1950,0.0,116,720,0,803,1,0,360,0,0,87000
326,32.0,8,1993,1993,0.0,1619,1719,0,1719,1,2,473,122,30,324000
327,80.0,6,1960,1960,175.0,565,1383,0,1383,1,0,292,0,45,145250
328,0.0,6,1916,1994,0.0,0,844,689,2134,2,0,441,0,60,214500
329,60.0,5,1920,1950,0.0,0,596,596,1192,1,0,189,0,0,78000
330,0.0,5,1964,1964,84.0,40,1728,0,1728,2,0,352,155,0,119000
331,70.0,5,1958,1992,0.0,846,1056,0,1056,1,0,308,0,0,139000
332,85.0,8,2003,2004,296.0,1124,3206,0,1629,2,1,880,0,0,284000
333,59.0,7,2004,2004,146.0,720,1358,0,1358,2,1,484,192,30,207000
334,59.0,6,1998,1998,0.0,828,943,695,1638,2,2,472,100,38,192000
335,0.0,5,1965,1965,0.0,1249,1499,167,1786,2,2,529,670,0,228950
336,86.0,9,2005,2006,200.0,1249,1922,0,1922,2,1,676,178,51,377426
337,70.0,7,2002,2003,113.0,810,1536,0,1536,2,0,532,192,74,214000
